task,vri_id,mitypeTitle,mitypeNumber,mitypeType,mit_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,fsa_ral_regNumbers_regNumber,vriType,result_doc_type,result_docnum,additional_info,mitypeURL,query_meta,org_title_norm,owner_norm,mitypeTitle_norm
tsagi_manometers,501301524,Маном...,26803-11,"МПТИ,...",333160,22401...,МПТИ-...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/333160,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301526,Маном...,26803-11,"МПТИ,...",333160,22401...,МПТИ-...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/333160,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301527,Маном...,26803-11,"МПТИ,...",333160,22401...,МПТИ-...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/333160,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301529,Маном...,20680-07,МО и ВО,323270,101865,"МО-1,6",,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323270,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301531,Маном...,490-50,МО,360574,1283,МО-250,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/360574,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301534,Маном...,490-50,МО,360574,1291,МО-250,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/360574,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301536,Маном...,490-50,МО,360574,1260,МО-250,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/360574,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301538,Маном...,490-50,МО,360574,1269,МО-250,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/360574,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,509271318,Маном...,55984-13,серии 2,368622,5402GZIM,213.5...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/368622,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2026'}",ФЕДЕР...,,Маном...
tsagi_manometers,509271319,Маном...,55984-13,серии 2,368622,5402VIS8,213.5...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/368622,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2026'}",ФЕДЕР...,,Маном...
